date,open,high,low,close,volume,vwap,ticker
2022-12-05 09:30:00,403.95,404.17,403.81,404.04,503523,403.9579,SPY
2022-12-05 09:31:00,404.05,404.25,403.87,404.14,219476,404.0946,SPY
2022-12-05 09:32:00,404.13,404.29,403.91,403.91,228250,404.1368,SPY
2022-12-05 09:33:00,403.92,404.22,403.89,404.08,197460,404.0661,SPY
2022-12-05 09:34:00,404.05,404.455,404.02,404.43,218308,404.2427,SPY
2022-12-05 09:35:00,404.44,404.63,404.34,404.5701,224538,404.5091,SPY
2022-12-05 09:36:00,404.59,404.85,404.57,404.8001,188160,404.7412,SPY
2022-12-05 09:37:00,404.81,404.93,404.71,404.73,193125,404.8092,SPY
2022-12-05 09:38:00,404.72,404.785,404.55,404.7,227261,404.655,SPY
2022-12-05 09:39:00,404.7,404.8399,404.575,404.71,231215,404.7164,SPY
2022-12-05 09:40:00,404.71,404.78,404.46,404.47,150855,404.5901,SPY
2022-12-05 09:41:00,404.48,404.67,404.4,404.5699,164626,404.5158,SPY
2022-12-05 09:42:00,404.56,404.62,404.42,404.53,116077,404.5226,SPY
2022-12-05 09:43:00,404.55,404.64,404.44,404.44,114136,404.5196,SPY
2022-12-05 09:44:00,404.46,404.53,404.25,404.32,110651,404.4137,SPY
2022-12-05 09:45:00,404.32,404.39,404.08,404.2079,237519,404.2098,SPY
2022-12-05 09:46:00,404.21,404.22,403.76,403.98,202932,403.9603,SPY
2022-12-05 09:47:00,403.965,404.12,403.86,404.0779,161840,403.9814,SPY
2022-12-05 09:48:00,404.065,404.13,403.94,403.98,92411,404.0651,SPY
2022-12-05 09:49:00,403.9801,404.285,403.91,404.18,171063,404.0944,SPY
2022-12-05 09:50:00,404.19,404.21,403.93,403.98,70758,404.0537,SPY
2022-12-05 09:51:00,403.98,404.05,403.76,403.9668,150420,403.9,SPY
2022-12-05 09:52:00,403.96,404.06,403.765,403.8207,169989,403.899,SPY
2022-12-05 09:53:00,403.83,403.99,403.73,403.77,223776,403.8552,SPY
2022-12-05 09:54:00,403.77,403.9,403.74,403.88,218531,403.8029,SPY
2022-12-05 09:55:00,403.88,403.885,403.55,403.5999,275586,403.6908,SPY
2022-12-05 09:56:00,403.6,403.63,403.4592,403.58,148906,403.5461,SPY
2022-12-05 09:57:00,403.55,403.62,403.39,403.53,124838,403.4865,SPY
2022-12-05 09:58:00,403.52,403.62,403.45,403.475,98661,403.5425,SPY
2022-12-05 09:59:00,403.4699,403.58,403.28,403.32,176966,403.4446,SPY
2022-12-05 10:00:00,403.28,403.295,401.59,402.36,1052007,402.292,SPY
2022-12-05 10:01:00,402.34,402.47,401.95,402.34,488072,402.247,SPY
2022-12-05 10:02:00,402.34,402.34,401.93,402.18,472959,402.0907,SPY
2022-12-05 10:03:00,402.18,402.77,401.93,402.64,407785,402.371,SPY
2022-12-05 10:04:00,402.65,402.95,402.56,402.87,311464,402.7305,SPY
2022-12-05 10:05:00,402.865,402.9,402.54,402.67,253056,402.7159,SPY
2022-12-05 10:06:00,402.67,403.18,402.6001,403.05,245369,402.9835,SPY
2022-12-05 10:07:00,403.05,403.05,402.78,402.82,248100,402.9147,SPY
2022-12-05 10:08:00,402.82,402.84,402.51,402.58,192214,402.665,SPY
2022-12-05 10:09:00,402.58,402.62,402.42,402.545,132144,402.5207,SPY
2022-12-05 10:10:00,402.545,402.85,402.39,402.76,223661,402.5786,SPY
2022-12-05 10:11:00,402.77,403.23,402.72,403.07,178665,403.0391,SPY
2022-12-05 10:12:00,403.07,403.2,402.93,403.15,145918,403.0431,SPY
2022-12-05 10:13:00,403.15,403.19,402.99,403.01,164604,403.073,SPY
2022-12-05 10:14:00,403.01,403.1,402.86,402.87,173209,402.9576,SPY
2022-12-05 10:15:00,402.88,402.95,402.63,402.655,240763,402.8268,SPY
2022-12-05 10:16:00,402.63,402.88,402.63,402.72,91482,402.7558,SPY
2022-12-05 10:17:00,402.72,403.0092,402.69,402.86,109579,402.865,SPY
2022-12-05 10:18:00,402.88,402.921,402.7,402.77,133111,402.8164,SPY
2022-12-05 10:19:00,402.79,402.79,402.59,402.63,97842,402.6554,SPY
2022-12-05 10:20:00,402.635,402.749,402.4,402.4679,177337,402.5402,SPY
2022-12-05 10:21:00,402.47,402.72,402.35,402.55,118954,402.5179,SPY
2022-12-05 10:22:00,402.55,402.68,402.47,402.49,159300,402.5694,SPY
2022-12-05 10:23:00,402.49,402.8153,402.49,402.7701,79407,402.6716,SPY
2022-12-05 10:24:00,402.78,402.87,402.67,402.7699,115425,402.7371,SPY
2022-12-05 10:25:00,402.77,403.0,402.72,402.9,123185,402.8795,SPY
2022-12-05 10:26:00,402.9,403.27,402.9,403.175,135410,403.1506,SPY
2022-12-05 10:27:00,403.18,403.46,403.1,403.235,148473,403.283,SPY
2022-12-05 10:28:00,403.22,403.23,402.8,402.81,252762,403.0256,SPY
2022-12-05 10:29:00,402.8,402.86,402.69,402.75,125246,402.8223,SPY
2022-12-05 10:30:00,402.75,402.8699,402.31,402.42,152330,402.5365,SPY
2022-12-05 10:31:00,402.43,402.65,402.43,402.64,99099,402.556,SPY
2022-12-05 10:32:00,402.64,402.935,402.61,402.66,105104,402.759,SPY
